Station_Name,Latitude,Longitude,URL,CDD10,solar,Tdb,Twb,HDD18
Winterland,47.14,-55.33,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Winterland.711810_CWEC2020.zip,598,155,23,20,4422
Wreckhouse,47.71,-59.31,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NL_Newfoundland_and_Labrador/CAN_NL_Wreckhouse.711800_CWEC2020.zip,679,175,22,19,4442
Beaver Island AUT,44.82,-62.33,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_Beaver.Island.AUT.714030_CWEC2020.zip,685,152,20,18,4033
Bedford Basin,44.71,-63.63,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_Bedford.Basin.713290_CWEC2020.zip,1031,164,25,20,3759
Bedford Range,44.75,-63.66,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_Bedford.Range.713250_CWEC2020.zip,1041,162,27,21,3961
Brier Island,44.29,-66.35,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_Brier.Island.719880_CWEC2020.zip,631,190,20,17,3766
Caribou Point AUT,45.77,-62.68,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_Caribou.Point.AUT.714150_CWEC2020.zip,1038,164,27,22,4055
Cheticamp CS,46.65,-60.95,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_Cheticamp.CS.719590_CWEC2020.zip,1003,167,27,23,4120
Debert,45.43,-63.47,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_Debert.713170_CWEC2020.zip,961,164,27,22,4395
Grand Etang,46.55,-61.05,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_Grand.Etang.730300_CWEC2020.zip,1025,174,26,23,4046
Greenwood AP,44.98,-64.92,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_Greenwood.AP.713970_CWEC2020.zip,1210,179,28,22,3898
Halifax Dockyard,44.66,-63.58,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_Halifax.Dockyard.713280_CWEC2020.zip,1000,160,29,21,3769
Halifax Intl AP,44.88,-63.51,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_Halifax.Intl.AP.713950_CWEC2020.zip,1020,158,28,23,4033
Hart Island AUT,45.35,-60.98,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_Hart.Island.AUT.714190_CWEC2020.zip,805,151,22,20,4007
Ingonish Beach RCS,46.66,-60.41,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_Ingonish.Beach.RCS.710270_CWEC2020.zip,916,165,28,23,4290
Kejimkujik,44.4,-65.2,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_Kejimkujik.715990_CWEC2020.zip,1083,175,28,22,4057
Kentville CDA CS,45.07,-64.48,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_Kentville.CDA.CS.716710_CWEC2020.zip,1167,170,28,23,3990
Lunenburg,44.36,-64.3,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_Lunenburg.710415_CWEC2020.zip,901,165,24,19,3770
Malay Falls,44.98,-62.48,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_Malay.Falls.730290_CWEC2020.zip,979,160,27,22,4243
Mcnabs Island AUT,44.6,-63.53,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_Mcnabs.Island.AUT.715910_CWEC2020.zip,888,162,24,20,3898
Nappan Auto,45.76,-64.24,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_Nappan.Auto.713110_CWEC2020.zip,987,172,26,22,4253
North Mountain CS,46.82,-60.67,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_North.Mountain.CS.716040_CWEC2020.zip,712,151,25,20,4967
Northeast Margaree AUT,46.37,-60.98,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_Northeast.Margaree.AUT.717367_CWEC2020.zip,874,154,28,22,4471
Parrsboro,45.41,-64.35,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_Parrsboro.714930_CWEC2020.zip,852,174,25,19,4382
Sable Island AP,43.95,-59.96,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_Sable.Island.AP.715950_CWEC2020.zip,877,164,20,19,3499
Shearwater RCS,44.64,-63.51,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_Shearwater.RCS.712640_CWEC2020.zip,1002,161,26,23,3847
St Paul Island AUT,47.23,-60.14,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_St.Paul.Island.AUT.714180_CWEC2020.zip,652,169,22,19,4516
Sydney AP,46.16,-60.05,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_Sydney.AP.717070_CWEC2020.zip,874,160,27,21,4313
Tracadie,45.61,-61.68,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_Tracadie.713080_CWEC2020.zip,996,172,27,22,4149
Western Head,43.99,-64.66,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_Western.Head.714110_CWEC2020.zip,709,171,25,20,3982
Yarmouth AP,43.83,-66.09,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NS_Nova_Scotia/CAN_NS_Yarmouth.AP.716030_CWEC2020.zip,807,182,23,20,3878
Deadmen Valley,61.26,-124.47,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Deadmen.Valley.710210_CWEC2020.zip,668,130,29,18,7292
Deline CS,65.21,-123.43,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Deline.CS.715030_CWEC2020.zip,384,211,23,17,8531
Fort Good Hope CS,66.24,-128.64,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Fort.Good.Hope.CS.714910_CWEC2020.zip,682,199,27,19,8382
Fort Liard,60.23,-123.47,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Fort.Liard.714970_CWEC2020.zip,763,166,26,19,6848
Fort Providence,61.32,-117.6,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Fort.Providence.710870_CWEC2020.zip,733,207,28,18,7248
Fort Reliance AUT,62.71,-109.17,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Fort.Reliance.AUT.711600_CWEC2020.zip,412,183,25,16,8465
Fort Simpson AP,61.76,-121.24,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Fort.Simpson.AP.719460_CWEC2020.zip,770,197,27,18,7487
Fort Smith AP,60.02,-111.96,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Fort.Smith.AP.719340_CWEC2020.zip,750,205,26,20,7002
Hay River AP,60.84,-115.78,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Hay.River.AP.719350_CWEC2020.zip,620,199,28,19,7305
Holman CS,70.76,-117.8,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Holman.CS.710290_CWEC2020.zip,124,252,22,14,10230
Inner Whalebacks,61.92,-113.73,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Inner.Whalebacks.711620_CWEC2020.zip,309,205,20,17,7846
Inuvik AP,68.3,-133.48,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Inuvik.AP.719570_CWEC2020.zip,402,210,25,17,8976
Keats Point,69.67,-121.67,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Keats.Point.710580_CWEC2020.zip,140,202,19,13,9777
Lac La Martre,63.13,-117.25,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Lac.La.Martre.711630_CWEC2020.zip,631,220,27,17,7914
Lindburg Landing,61.13,-122.85,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Lindburg.Landing.716820_CWEC2020.zip,668,183,27,19,7471
Little Chicago,67.18,-130.23,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Little.Chicago.711640_CWEC2020.zip,569,225,24,16,8649
Liverpool Bay,69.6,-130.91,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Liverpool.Bay.719600_CWEC2020.zip,88,225,20,14,9929
Lower Carp Lake,63.6,-113.86,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Lower.Carp.Lake.716800_CWEC2020.zip,497,189,24,17,8293
Lutselke CS,62.42,-110.69,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Lutselke.CS.715290_CWEC2020.zip,476,190,25,16,8026
Mould Bay CS,76.24,-119.35,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Mould.Bay.CS.719890_CWEC2020.zip,0,193,9,8,11960
Norman Wells AP,65.28,-126.8,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Norman.Wells.AP.710430_CWEC2020.zip,672,188,28,19,8202
Paulatuk,69.36,-124.08,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Paulatuk.719840_CWEC2020.zip,140,217,20,14,9537
Pelly Island,69.63,-135.44,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Pelly.Island.715020_CWEC2020.zip,55,219,20,16,9646
Rabbit Kettle,61.96,-127.21,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Rabbit.Kettle.719800_CWEC2020.zip,542,129,27,17,7859
Sachs Harbour Climate,71.99,-125.25,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Sachs.Harbour.Climate.714670_CWEC2020.zip,37,230,18,14,10725
Storm Hills,68.91,-133.94,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Storm.Hills.710520_CWEC2020.zip,199,205,22,16,9624
Thomsen River,73.23,-119.54,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Thomsen.River.719160_CWEC2020.zip,53,248,19,13,11651
Trail Valley,68.75,-133.5,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Trail.Valley.716830_CWEC2020.zip,295,221,24,16,9379
Tuktoyaktuk,69.43,-133.02,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Tuktoyaktuk.719850_CWEC2020.zip,186,228,22,16,9773
Yellowknife AP,62.46,-114.44,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Yellowknife.AP.719360_CWEC2020.zip,617,214,26,17,7960
Yohin,61.24,-123.74,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NT_Northwest_Territories/CAN_NT_Yohin.710200_CWEC2020.zip,830,187,27,18,7074
Alert Climate,82.5,-62.33,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Alert.Climate.713550_CWEC2020.zip,17,335,17,11,12295
Arctic Bay CS,72.99,-85.01,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Arctic.Bay.CS.715920_CWEC2020.zip,20,257,14,10,10949
Arviat Climate,61.1,-94.07,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Arviat.Climate.713220_CWEC2020.zip,119,169,20,15,9543
Baker Lake AP,64.3,-96.08,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Baker.Lake.AP.719260_CWEC2020.zip,200,185,23,15,10205
Brevoort Island,63.34,-64.15,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Brevoort.Island.710970_CWEC2020.zip,12,183,14,12,9401
Broughton Island,67.54,-63.79,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Broughton.Island.710960_CWEC2020.zip,32,223,15,9,10117
Cambridge Bay AP,69.11,-105.14,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Cambridge.Bay.AP.719250_CWEC2020.zip,59,197,17,14,11117
Cape Dorset Climate,64.23,-76.53,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Cape.Dorset.Climate.715750_CWEC2020.zip,30,147,16,10,9210
Cape Dyer,66.65,-61.38,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Cape.Dyer.710940_CWEC2020.zip,8,203,12,11,10018
Cape Hooper,68.47,-66.82,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Cape.Hooper.710930_CWEC2020.zip,17,223,13,13,10279
Cape Mercy,64.96,-63.58,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Cape.Mercy.719750_CWEC2020.zip,25,191,15,14,9715
Cape Peel West,69.03,-107.82,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Cape.Peel.West.710640_CWEC2020.zip,73,207,17,9,10980
Clyde River Climate,70.48,-68.52,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Clyde.River.Climate.713580_CWEC2020.zip,16,264,15,11,10554
Coral Harbour AP,64.19,-83.36,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Coral.Harbour.AP.719150_CWEC2020.zip,105,149,22,14,10143
Dewar Lakes,68.65,-71.17,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Dewar.Lakes.710920_CWEC2020.zip,17,191,15,12,10702
Ennadai Lake AUT,61.13,-100.88,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Ennadai.Lake.AUT.719230_CWEC2020.zip,343,168,25,17,9068
Eureka AP,79.99,-85.81,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Eureka.AP.719170_CWEC2020.zip,16,290,14,9,13028
Gjoa Haven Climate,68.64,-95.85,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Gjoa.Haven.Climate.713630_CWEC2020.zip,51,239,15,10,11185
Grise Fiord Climate,76.42,-82.9,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Grise.Fiord.Climate.719710_CWEC2020.zip,1,283,10,6,11594
Hall Beach AP,68.78,-81.24,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Hall.Beach.AP.712930_CWEC2020.zip,11,224,14,11,11024
Hat Island,68.32,-100.09,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Hat.Island.710840_CWEC2020.zip,26,266,14,11,11162
Iqaluit AP,63.76,-68.56,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Iqaluit.AP.719090_CWEC2020.zip,48,140,21,14,9417
Isachsen AUT,78.79,-103.55,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Isachsen.AUT.710740_CWEC2020.zip,8,193,13,10,11976
Kugaaruk Climate,68.54,-89.8,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Kugaaruk.Climate.714070_CWEC2020.zip,70,203,18,13,11003
Kugluktuk AP,67.82,-115.14,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Kugluktuk.AP.719380_CWEC2020.zip,143,203,22,15,9916
Longstaff Bluff,68.9,-75.14,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Longstaff.Bluff.710910_CWEC2020.zip,22,216,15,12,10590
Lupin CS,65.76,-111.25,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Lupin.CS.714700_CWEC2020.zip,222,204,24,15,9959
Pangnirtung AP,66.15,-65.71,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Pangnirtung.AP.718260_CWEC2020.zip,23,238,13,9,9295
Pond Inlet AP,72.69,-77.97,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Pond.Inlet.AP.710950_CWEC2020.zip,18,270,14,9,11147
Qikiqtarjuaq Climate,67.55,-64.03,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Qikiqtarjuaq.Climate.713570_CWEC2020.zip,11,244,15,10,9961
Rankin Inlet AP,62.81,-92.11,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Rankin.Inlet.AP.710830_CWEC2020.zip,94,155,19,14,9948
Rea Point,75.38,-105.71,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Rea.Point.719830_CWEC2020.zip,0,215,9,7,11643
Resolute Bay AP,74.72,-94.97,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Resolute.Bay.AP.719240_CWEC2020.zip,14,272,14,10,11773
Resolution Island,61.58,-64.65,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Resolution.Island.719720_CWEC2020.zip,23,163,13,13,8956
Rowley Island,69.08,-79.03,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Rowley.Island.710880_CWEC2020.zip,13,239,13,13,10310
Shepherd Bay AP,68.82,-93.43,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Shepherd.Bay.AP.719110_CWEC2020.zip,80,221,19,11,11291
Taloyoak AP,69.55,-93.58,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/NU_Nunavut/CAN_NU_Taloyoak.AP.715800_CWEC2020.zip,50,227,18,12,11253
Algonquin Park East Gate,45.53,-78.27,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Algonquin.Park.East.Gate.715810_CWEC2020.zip,999,195,28,21,5065
Armstrong AUT,50.29,-88.91,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Armstrong.AUT.718410_CWEC2020.zip,794,189,27,21,6307
Atikokan AUT,48.76,-91.63,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Atikokan.AUT.717470_CWEC2020.zip,988,193,28,20,5418
Bancroft Auto,45.07,-77.88,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Bancroft.Auto.712940_CWEC2020.zip,1094,185,30,23,4800
Barrie Oro,44.48,-79.55,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Barrie.Oro.713140_CWEC2020.zip,1152,206,30,24,4442
Big Trout Lake AP,53.82,-89.9,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Big.Trout.Lake.AP.716750_CWEC2020.zip,624,169,26,20,7027
Borden AWOS,44.27,-79.91,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Borden.AWOS.715340_CWEC2020.zip,1291,208,30,22,4244
Burlington Piers AUT,43.3,-79.8,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Burlington.Piers.AUT.714370_CWEC2020.zip,1473,197,29,22,3598
Cameron Falls AUT,49.15,-88.34,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Cameron.Falls.AUT.712910_CWEC2020.zip,751,189,27,20,5657
Cobourg AUT,43.95,-78.17,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Cobourg.AUT.714310_CWEC2020.zip,1172,212,25,22,3845
Collingwood,44.5,-80.22,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Collingwood.712700_CWEC2020.zip,1336,202,30,24,3906
Delhi CS,42.87,-80.55,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Delhi.CS.715730_CWEC2020.zip,1384,188,28,22,3724
Dryden Regional,49.83,-92.74,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Dryden.Regional.715270_CWEC2020.zip,969,197,28,20,5568
Ear Falls AUT,50.63,-93.22,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Ear.Falls.AUT.712950_CWEC2020.zip,871,181,27,20,5849
Earlton AP,47.7,-79.85,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Earlton.AP.716840_CWEC2020.zip,904,181,30,22,5505
Egbert CS,44.23,-79.78,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Egbert.CS.712960_CWEC2020.zip,1263,209,30,25,4224
Elora RCS,43.65,-80.42,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Elora.RCS.713520_CWEC2020.zip,1135,189,28,23,4366
Erieau AUT,42.25,-81.9,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Erieau.AUT.714650_CWEC2020.zip,1464,201,27,26,3355
Geraldton AP,49.78,-86.94,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Geraldton.AP.718340_CWEC2020.zip,802,176,26,20,6121
Goderich,43.77,-81.72,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Goderich.712610_CWEC2020.zip,1306,205,27,23,3815
Gore Bay Climate,45.88,-82.57,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Gore.Bay.Climate.719560_CWEC2020.zip,1093,216,27,21,4339
Hamilton AP,43.17,-79.93,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Hamilton.AP.712630_CWEC2020.zip,1310,214,30,23,3917
Hamilton Rbg CS,43.29,-79.91,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Hamilton.Rbg.CS.712970_CWEC2020.zip,1484,198,33,25,3552
Harrow CDA Auto,42.03,-82.9,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Harrow.CDA.Auto.712980_CWEC2020.zip,1615,199,30,24,3525
Kapuskasing AP,49.41,-82.47,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Kapuskasing.AP.718310_CWEC2020.zip,796,177,29,22,6053
Kemptville CS,45,-75.63,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Kemptville.CS.713000_CWEC2020.zip,1298,212,29,23,4277
Kenora AP,49.79,-94.36,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Kenora.AP.718500_CWEC2020.zip,1055,202,29,21,5459
Killarney AUT,45.97,-81.48,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Killarney.AUT.714600_CWEC2020.zip,932,212,25,19,4495
Kirkland Lake CS,48.15,-80,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Kirkland.Lake.CS.713010_CWEC2020.zip,946,186,29,20,5843
Lagoon City,44.55,-79.22,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Lagoon.City.712820_CWEC2020.zip,1193,202,26,23,4145
